paso,cooperacion_global,E,P,O,A,R
0,0.42,0.14,0.21,0.34,0.16,0.15
1,0.45,0.14,0.21,0.34,0.16,0.15
2,0.45,0.14,0.21,0.34,0.16,0.15
3,0.48,0.13,0.18,0.42,0.14,0.13
4,0.37,0.12,0.21,0.41,0.13,0.13
5,0.39,0.1,0.21,0.45,0.1,0.14
6,0.4,0.08,0.21,0.46,0.11,0.14
7,0.39,0.06,0.21,0.5,0.1,0.13
8,0.35,0.05,0.21,0.5,0.07,0.17
9,0.31,0.05,0.19,0.5,0.08,0.18
10,0.4,0.05,0.19,0.51,0.08,0.17
11,0.37,0.05,0.19,0.52,0.08,0.16
12,0.36,0.05,0.2,0.51,0.08,0.16
13,0.35,0.04,0.2,0.5,0.08,0.18
14,0.4,0.05,0.19,0.49,0.09,0.18
15,0.38,0.05,0.2,0.49,0.08,0.18
16,0.33,0.05,0.2,0.48,0.08,0.19
17,0.36,0.04,0.2,0.46,0.08,0.22
18,0.38,0.04,0.2,0.46,0.08,0.22
19,0.41,0.04,0.23,0.44,0.08,0.21
20,0.4,0.03,0.21,0.47,0.1,0.19
21,0.4,0.03,0.21,0.47,0.1,0.19
22,0.4,0.02,0.21,0.48,0.1,0.19
23,0.41,0.01,0.21,0.49,0.1,0.19
24,0.4,0.0,0.21,0.51,0.1,0.18
25,0.38,0.0,0.22,0.49,0.12,0.17
26,0.43,0.0,0.21,0.5,0.12,0.17
27,0.41,0.0,0.23,0.48,0.12,0.17
28,0.4,0.0,0.23,0.49,0.12,0.16
29,0.4,0.0,0.22,0.5,0.12,0.16
30,0.42,0.0,0.21,0.52,0.12,0.15
31,0.39,0.0,0.2,0.52,0.12,0.16
32,0.42,0.0,0.19,0.49,0.13,0.19
33,0.43,0.0,0.18,0.5,0.13,0.19
34,0.37,0.0,0.18,0.48,0.13,0.21
35,0.4,0.0,0.2,0.46,0.13,0.21
36,0.45,0.0,0.2,0.46,0.15,0.19
37,0.45,0.0,0.21,0.47,0.14,0.18
38,0.41,0.0,0.21,0.48,0.13,0.18
39,0.48,0.0,0.18,0.52,0.12,0.18
40,0.4,0.0,0.17,0.53,0.11,0.19
41,0.38,0.0,0.16,0.55,0.1,0.19
42,0.39,0.0,0.16,0.55,0.09,0.2
43,0.35,0.0,0.17,0.54,0.09,0.2
44,0.38,0.0,0.16,0.54,0.1,0.2
45,0.36,0.0,0.15,0.55,0.11,0.19
46,0.34,0.0,0.15,0.55,0.11,0.19
47,0.35,0.0,0.17,0.54,0.1,0.19
48,0.34,0.0,0.17,0.57,0.08,0.18
49,0.35,0.0,0.16,0.57,0.08,0.19
50,0.72,0.0,0.16,0.56,0.08,0.2
51,0.72,0.0,0.16,0.57,0.07,0.2
52,0.77,0.0,0.15,0.58,0.07,0.2
53,0.74,0.0,0.11,0.61,0.07,0.21
54,0.8,0.0,0.1,0.63,0.07,0.2
55,0.83,0.0,0.1,0.64,0.07,0.19
56,0.81,0.0,0.1,0.65,0.07,0.18
57,0.84,0.0,0.12,0.63,0.07,0.18
58,0.8,0.0,0.12,0.67,0.07,0.14
59,0.79,0.0,0.12,0.66,0.07,0.15
60,0.8,0.0,0.13,0.66,0.06,0.15
61,0.79,0.0,0.13,0.67,0.06,0.14
62,0.81,0.0,0.13,0.65,0.06,0.16
63,0.79,0.0,0.1,0.69,0.06,0.15
64,0.83,0.0,0.08,0.72,0.05,0.15
65,0.83,0.0,0.08,0.72,0.05,0.15
66,0.84,0.0,0.06,0.77,0.05,0.12
67,0.86,0.0,0.09,0.78,0.04,0.09
68,0.89,0.0,0.08,0.8,0.04,0.08
69,0.86,0.0,0.07,0.81,0.04,0.08
70,0.89,0.0,0.07,0.81,0.04,0.08
71,0.89,0.0,0.06,0.84,0.04,0.06
72,0.91,0.0,0.07,0.83,0.04,0.06
73,0.92,0.0,0.08,0.82,0.04,0.06
74,0.89,0.0,0.07,0.83,0.04,0.06
75,0.92,0.0,0.06,0.83,0.04,0.07
76,0.91,0.0,0.06,0.83,0.04,0.07
77,0.89,0.0,0.05,0.85,0.03,0.07
78,0.91,0.0,0.04,0.84,0.04,0.08
79,0.92,0.0,0.04,0.84,0.04,0.08
80,0.92,0.0,0.04,0.84,0.04,0.08
81,0.91,0.0,0.03,0.83,0.05,0.09
82,0.9,0.0,0.03,0.85,0.05,0.07
83,0.93,0.0,0.04,0.85,0.05,0.06
84,0.94,0.0,0.04,0.85,0.06,0.05
85,0.94,0.0,0.02,0.87,0.07,0.04
86,0.97,0.0,0.01,0.88,0.07,0.04
87,0.96,0.0,0.01,0.89,0.08,0.02
88,0.99,0.0,0.0,0.9,0.08,0.02
89,0.99,0.0,0.0,0.89,0.09,0.02
90,0.98,0.0,0.0,0.89,0.09,0.02
91,0.98,0.0,0.0,0.91,0.08,0.01
92,0.99,0.0,0.0,0.91,0.08,0.01
93,0.99,0.0,0.0,0.92,0.07,0.01
94,1.0,0.0,0.0,0.93,0.06,0.01
95,0.99,0.0,0.0,0.91,0.08,0.01
96,1.0,0.0,0.0,0.91,0.08,0.01
97,0.99,0.0,0.0,0.91,0.08,0.01
98,0.99,0.0,0.0,0.9,0.09,0.01
99,1.0,0.0,0.0,0.9,0.09,0.01
