paso,cooperacion_global,E,P,O,A,R
0,0.58,0.13,0.38,0.19,0.13,0.17
1,0.62,0.13,0.38,0.19,0.13,0.17
2,0.59,0.13,0.38,0.19,0.13,0.17
3,0.63,0.18,0.37,0.17,0.12,0.16
4,0.56,0.21,0.35,0.16,0.09,0.19
5,0.54,0.24,0.31,0.17,0.08,0.2
6,0.5,0.25,0.33,0.15,0.08,0.19
7,0.53,0.29,0.31,0.15,0.06,0.19
8,0.45,0.29,0.31,0.16,0.05,0.19
9,0.48,0.27,0.32,0.12,0.06,0.23
10,0.49,0.26,0.35,0.12,0.08,0.19
11,0.55,0.22,0.33,0.13,0.08,0.24
12,0.52,0.2,0.33,0.12,0.08,0.27
13,0.55,0.2,0.33,0.12,0.08,0.27
14,0.55,0.21,0.32,0.12,0.08,0.27
15,0.59,0.24,0.32,0.11,0.08,0.25
16,0.48,0.25,0.3,0.14,0.08,0.23
17,0.51,0.24,0.31,0.16,0.08,0.21
18,0.52,0.24,0.33,0.17,0.06,0.2
19,0.49,0.23,0.34,0.17,0.03,0.23
20,0.51,0.23,0.33,0.17,0.02,0.25
21,0.5,0.27,0.3,0.16,0.03,0.24
22,0.44,0.26,0.3,0.16,0.03,0.25
23,0.44,0.23,0.33,0.17,0.03,0.24
24,0.45,0.25,0.28,0.18,0.03,0.26
25,0.41,0.24,0.28,0.21,0.03,0.24
26,0.41,0.24,0.3,0.19,0.03,0.24
27,0.42,0.26,0.3,0.18,0.03,0.23
28,0.45,0.23,0.3,0.18,0.05,0.24
29,0.51,0.22,0.29,0.19,0.06,0.24
30,0.45,0.18,0.28,0.22,0.07,0.25
31,0.48,0.18,0.29,0.23,0.07,0.23
32,0.5,0.18,0.25,0.26,0.07,0.24
33,0.44,0.16,0.25,0.27,0.07,0.25
34,0.43,0.15,0.24,0.27,0.07,0.27
35,0.42,0.14,0.24,0.27,0.07,0.28
36,0.43,0.16,0.21,0.26,0.07,0.3
37,0.44,0.14,0.2,0.25,0.08,0.33
38,0.47,0.13,0.21,0.26,0.07,0.33
39,0.42,0.14,0.17,0.28,0.06,0.35
40,0.47,0.14,0.2,0.28,0.06,0.32
41,0.45,0.15,0.19,0.27,0.08,0.31
42,0.45,0.15,0.17,0.32,0.08,0.28
43,0.35,0.15,0.19,0.34,0.07,0.25
44,0.37,0.16,0.2,0.3,0.09,0.25
45,0.42,0.15,0.21,0.3,0.09,0.25
46,0.43,0.14,0.23,0.3,0.08,0.25
47,0.49,0.13,0.24,0.28,0.09,0.26
48,0.44,0.13,0.25,0.3,0.09,0.23
49,0.43,0.15,0.27,0.28,0.08,0.22
50,0.47,0.13,0.29,0.26,0.09,0.23
51,0.48,0.15,0.3,0.27,0.08,0.2
52,0.41,0.15,0.29,0.27,0.09,0.2
53,0.41,0.15,0.31,0.24,0.1,0.2
54,0.43,0.17,0.29,0.23,0.11,0.2
55,0.42,0.18,0.29,0.24,0.11,0.18
56,0.41,0.17,0.31,0.24,0.11,0.17
57,0.45,0.17,0.33,0.25,0.1,0.15
58,0.45,0.19,0.34,0.23,0.1,0.14
59,0.42,0.17,0.34,0.26,0.1,0.13
60,0.47,0.18,0.34,0.25,0.11,0.12
61,0.44,0.16,0.35,0.25,0.11,0.13
62,0.43,0.13,0.37,0.26,0.11,0.13
63,0.45,0.12,0.38,0.26,0.11,0.13
64,0.42,0.11,0.39,0.28,0.11,0.11
65,0.46,0.12,0.37,0.29,0.11,0.11
66,0.45,0.13,0.38,0.25,0.13,0.11
67,0.4,0.13,0.4,0.25,0.12,0.1
68,0.39,0.11,0.4,0.24,0.13,0.12
69,0.44,0.11,0.42,0.22,0.14,0.11
70,0.41,0.12,0.43,0.19,0.15,0.11
71,0.4,0.11,0.43,0.19,0.16,0.11
72,0.39,0.1,0.45,0.18,0.16,0.11
73,0.37,0.1,0.46,0.17,0.17,0.1
74,0.38,0.11,0.45,0.17,0.18,0.09
75,0.38,0.13,0.43,0.17,0.18,0.09
76,0.4,0.11,0.44,0.17,0.19,0.09
77,0.4,0.11,0.39,0.21,0.2,0.09
78,0.48,0.12,0.38,0.21,0.2,0.09
79,0.46,0.12,0.35,0.24,0.21,0.08
80,0.5,0.13,0.32,0.25,0.21,0.09
81,0.5,0.12,0.31,0.26,0.21,0.1
82,0.53,0.12,0.3,0.27,0.22,0.09
83,0.54,0.11,0.3,0.28,0.22,0.09
84,0.55,0.13,0.29,0.29,0.22,0.07
85,0.54,0.12,0.28,0.29,0.23,0.08
86,0.59,0.13,0.27,0.29,0.23,0.08
87,0.56,0.14,0.28,0.25,0.24,0.09
88,0.55,0.14,0.3,0.23,0.23,0.1
89,0.51,0.14,0.3,0.24,0.22,0.1
90,0.51,0.16,0.28,0.23,0.22,0.11
91,0.51,0.15,0.28,0.23,0.22,0.12
92,0.53,0.15,0.29,0.24,0.21,0.11
93,0.48,0.14,0.29,0.25,0.22,0.1
94,0.51,0.15,0.28,0.25,0.22,0.1
95,0.51,0.15,0.27,0.26,0.21,0.11
96,0.53,0.16,0.25,0.25,0.23,0.11
97,0.55,0.16,0.26,0.27,0.23,0.08
98,0.55,0.16,0.28,0.27,0.22,0.07
99,0.53,0.16,0.29,0.26,0.23,0.06
