paso,cooperacion_global,E,P,O,A,R
0,0.81,0.06,0.07,0.09,0.66,0.12
1,0.8,0.06,0.07,0.09,0.66,0.12
2,0.79,0.06,0.07,0.09,0.66,0.12
3,0.81,0.09,0.06,0.1,0.6,0.15
4,0.73,0.09,0.06,0.12,0.57,0.16
5,0.69,0.1,0.05,0.13,0.56,0.16
6,0.72,0.1,0.05,0.13,0.56,0.16
7,0.65,0.07,0.04,0.12,0.6,0.17
8,0.74,0.08,0.05,0.12,0.56,0.19
9,0.71,0.08,0.06,0.11,0.53,0.22
10,0.66,0.1,0.05,0.11,0.51,0.23
11,0.64,0.1,0.05,0.11,0.51,0.23
12,0.66,0.09,0.06,0.11,0.52,0.22
13,0.64,0.1,0.06,0.12,0.48,0.24
14,0.68,0.1,0.06,0.14,0.44,0.26
15,0.59,0.1,0.06,0.16,0.42,0.26
16,0.61,0.11,0.06,0.15,0.38,0.3
17,0.6,0.1,0.06,0.13,0.39,0.32
18,0.6,0.1,0.06,0.13,0.39,0.32
19,0.62,0.12,0.07,0.13,0.37,0.31
20,0.56,0.13,0.06,0.14,0.37,0.3
21,0.51,0.13,0.06,0.13,0.39,0.29
22,0.62,0.12,0.07,0.12,0.39,0.3
23,0.58,0.12,0.07,0.12,0.38,0.31
24,0.63,0.15,0.07,0.13,0.36,0.29
25,0.6,0.16,0.07,0.13,0.36,0.28
26,0.59,0.16,0.07,0.14,0.37,0.26
27,0.56,0.18,0.07,0.15,0.37,0.23
28,0.54,0.14,0.07,0.16,0.41,0.22
29,0.6,0.14,0.07,0.12,0.44,0.23
30,0.66,0.14,0.07,0.11,0.46,0.22
31,0.66,0.16,0.06,0.11,0.45,0.22
32,0.62,0.18,0.05,0.12,0.43,0.22
33,0.59,0.17,0.05,0.12,0.41,0.25
34,0.58,0.15,0.06,0.12,0.43,0.24
35,0.62,0.13,0.06,0.13,0.43,0.25
36,0.61,0.13,0.06,0.12,0.46,0.23
37,0.6,0.12,0.06,0.13,0.46,0.23
38,0.62,0.12,0.06,0.15,0.45,0.22
39,0.62,0.12,0.06,0.14,0.44,0.24
40,0.57,0.11,0.06,0.16,0.4,0.27
41,0.55,0.12,0.04,0.14,0.42,0.28
42,0.62,0.14,0.04,0.16,0.39,0.27
43,0.62,0.16,0.04,0.17,0.38,0.25
44,0.58,0.16,0.03,0.19,0.38,0.24
45,0.59,0.16,0.03,0.2,0.38,0.23
46,0.52,0.17,0.04,0.19,0.38,0.22
47,0.56,0.16,0.03,0.19,0.41,0.21
48,0.56,0.18,0.04,0.16,0.41,0.21
49,0.6,0.18,0.04,0.17,0.4,0.21
50,0.7,0.2,0.03,0.17,0.4,0.2
51,0.66,0.19,0.05,0.2,0.38,0.18
52,0.62,0.17,0.05,0.22,0.36,0.2
53,0.68,0.18,0.04,0.22,0.36,0.2
54,0.65,0.16,0.05,0.21,0.34,0.24
55,0.68,0.16,0.04,0.21,0.34,0.25
56,0.7,0.14,0.04,0.21,0.36,0.25
57,0.71,0.12,0.04,0.21,0.38,0.25
58,0.72,0.12,0.03,0.2,0.38,0.27
59,0.68,0.11,0.02,0.23,0.38,0.26
60,0.74,0.12,0.02,0.22,0.38,0.26
61,0.68,0.12,0.03,0.2,0.38,0.27
62,0.68,0.14,0.03,0.21,0.39,0.23
63,0.66,0.15,0.04,0.18,0.4,0.23
64,0.7,0.15,0.04,0.17,0.39,0.25
65,0.69,0.15,0.04,0.19,0.37,0.25
66,0.68,0.12,0.03,0.21,0.39,0.25
67,0.73,0.13,0.03,0.21,0.4,0.23
68,0.72,0.13,0.03,0.21,0.39,0.24
69,0.71,0.12,0.02,0.21,0.42,0.23
70,0.76,0.12,0.03,0.2,0.43,0.22
71,0.8,0.11,0.03,0.22,0.45,0.19
72,0.76,0.1,0.04,0.23,0.43,0.2
73,0.77,0.08,0.04,0.24,0.45,0.19
74,0.81,0.07,0.04,0.24,0.44,0.21
75,0.77,0.07,0.04,0.24,0.44,0.21
76,0.78,0.07,0.04,0.24,0.44,0.21
77,0.79,0.08,0.04,0.27,0.41,0.2
78,0.8,0.09,0.03,0.29,0.41,0.18
79,0.78,0.08,0.03,0.29,0.42,0.18
80,0.79,0.06,0.03,0.32,0.44,0.15
81,0.84,0.05,0.04,0.32,0.45,0.14
82,0.87,0.04,0.04,0.33,0.46,0.13
83,0.85,0.03,0.03,0.36,0.48,0.1
84,0.89,0.04,0.03,0.35,0.47,0.11
85,0.86,0.04,0.02,0.35,0.49,0.1
86,0.89,0.03,0.02,0.38,0.51,0.06
87,0.91,0.03,0.02,0.39,0.51,0.05
88,0.92,0.02,0.02,0.4,0.52,0.04
89,0.95,0.03,0.02,0.42,0.5,0.03
90,0.94,0.02,0.02,0.41,0.52,0.03
91,0.94,0.02,0.02,0.4,0.53,0.03
92,0.96,0.01,0.0,0.42,0.53,0.04
93,0.97,0.01,0.0,0.43,0.52,0.04
94,0.97,0.0,0.0,0.45,0.51,0.04
95,0.99,0.0,0.0,0.44,0.52,0.04
96,0.97,0.0,0.0,0.45,0.53,0.02
97,0.99,0.0,0.0,0.45,0.53,0.02
98,0.98,0.0,0.0,0.45,0.53,0.02
99,0.98,0.0,0.0,0.47,0.51,0.02
