paso,cooperacion_global,E,P,O,A,R
0,0.33,0.51,0.06,0.08,0.22,0.13
1,0.33,0.51,0.06,0.08,0.22,0.13
2,0.36,0.51,0.06,0.08,0.22,0.13
3,0.34,0.59,0.04,0.08,0.18,0.11
4,0.28,0.6,0.04,0.08,0.18,0.1
5,0.28,0.59,0.04,0.08,0.18,0.11
6,0.26,0.59,0.04,0.08,0.18,0.11
7,0.26,0.58,0.04,0.07,0.17,0.14
8,0.28,0.57,0.04,0.06,0.18,0.15
9,0.3,0.57,0.03,0.06,0.18,0.16
10,0.29,0.58,0.0,0.07,0.17,0.18
11,0.28,0.57,0.0,0.07,0.17,0.19
12,0.27,0.56,0.0,0.06,0.18,0.2
13,0.28,0.56,0.0,0.06,0.19,0.19
14,0.31,0.56,0.0,0.07,0.18,0.19
15,0.28,0.55,0.0,0.06,0.18,0.21
16,0.31,0.55,0.0,0.06,0.18,0.21
17,0.29,0.49,0.0,0.06,0.2,0.25
18,0.36,0.48,0.0,0.06,0.2,0.26
19,0.35,0.48,0.0,0.05,0.18,0.29
20,0.36,0.48,0.0,0.04,0.2,0.28
21,0.34,0.5,0.0,0.03,0.18,0.29
22,0.28,0.49,0.0,0.03,0.17,0.31
23,0.3,0.47,0.0,0.04,0.17,0.32
24,0.34,0.47,0.0,0.04,0.15,0.34
25,0.28,0.49,0.0,0.04,0.13,0.34
26,0.25,0.52,0.0,0.04,0.12,0.32
27,0.28,0.52,0.0,0.05,0.12,0.31
28,0.25,0.49,0.0,0.06,0.12,0.33
29,0.29,0.49,0.0,0.06,0.12,0.33
30,0.34,0.49,0.0,0.06,0.12,0.33
31,0.31,0.52,0.0,0.04,0.1,0.34
32,0.31,0.53,0.0,0.04,0.1,0.33
33,0.28,0.52,0.0,0.03,0.12,0.33
34,0.3,0.52,0.0,0.03,0.12,0.33
35,0.28,0.53,0.0,0.03,0.11,0.33
36,0.24,0.53,0.0,0.03,0.12,0.32
37,0.24,0.53,0.0,0.03,0.12,0.32
38,0.29,0.53,0.0,0.03,0.14,0.3
39,0.26,0.53,0.0,0.03,0.14,0.3
40,0.28,0.51,0.0,0.03,0.16,0.3
41,0.29,0.53,0.0,0.02,0.16,0.29
42,0.3,0.53,0.0,0.02,0.17,0.28
43,0.3,0.53,0.0,0.02,0.18,0.27
44,0.31,0.5,0.0,0.02,0.19,0.29
45,0.31,0.49,0.0,0.02,0.2,0.29
46,0.37,0.49,0.0,0.02,0.2,0.29
47,0.33,0.49,0.0,0.02,0.2,0.29
48,0.33,0.5,0.0,0.02,0.19,0.29
49,0.32,0.5,0.0,0.02,0.19,0.29
50,0.34,0.5,0.0,0.02,0.19,0.29
51,0.33,0.49,0.0,0.02,0.21,0.28
52,0.43,0.46,0.0,0.02,0.24,0.28
53,0.41,0.46,0.0,0.02,0.25,0.27
54,0.38,0.47,0.0,0.01,0.24,0.28
55,0.41,0.47,0.0,0.01,0.24,0.28
56,0.37,0.5,0.0,0.01,0.23,0.26
57,0.36,0.53,0.0,0.01,0.22,0.24
58,0.36,0.57,0.0,0.0,0.21,0.22
59,0.32,0.56,0.0,0.0,0.23,0.21
60,0.32,0.58,0.0,0.0,0.23,0.19
61,0.38,0.58,0.0,0.0,0.24,0.18
62,0.35,0.6,0.0,0.0,0.21,0.19
63,0.34,0.6,0.0,0.0,0.22,0.18
64,0.3,0.6,0.0,0.0,0.22,0.18
65,0.33,0.63,0.0,0.0,0.21,0.16
66,0.31,0.63,0.0,0.0,0.2,0.17
67,0.26,0.62,0.0,0.0,0.2,0.18
68,0.32,0.62,0.0,0.0,0.22,0.16
69,0.28,0.61,0.0,0.0,0.23,0.16
70,0.29,0.62,0.0,0.0,0.23,0.15
71,0.29,0.66,0.0,0.0,0.23,0.11
72,0.31,0.66,0.0,0.0,0.23,0.11
73,0.26,0.69,0.0,0.0,0.22,0.09
74,0.27,0.72,0.0,0.0,0.19,0.09
75,0.25,0.72,0.0,0.0,0.19,0.09
76,0.21,0.72,0.0,0.0,0.19,0.09
77,0.25,0.73,0.0,0.0,0.18,0.09
78,0.19,0.74,0.0,0.0,0.18,0.08
79,0.23,0.74,0.0,0.0,0.18,0.08
80,0.22,0.74,0.0,0.0,0.18,0.08
81,0.24,0.74,0.0,0.0,0.18,0.08
82,0.22,0.74,0.0,0.0,0.17,0.09
83,0.21,0.74,0.0,0.0,0.17,0.09
84,0.21,0.74,0.0,0.0,0.17,0.09
85,0.19,0.75,0.0,0.0,0.16,0.09
86,0.22,0.76,0.0,0.0,0.16,0.08
87,0.22,0.77,0.0,0.0,0.17,0.06
88,0.2,0.75,0.0,0.0,0.19,0.06
89,0.23,0.75,0.0,0.0,0.2,0.05
90,0.23,0.73,0.0,0.0,0.21,0.06
91,0.24,0.74,0.0,0.0,0.21,0.05
92,0.24,0.74,0.0,0.0,0.21,0.05
93,0.22,0.76,0.0,0.0,0.2,0.04
94,0.22,0.77,0.0,0.0,0.19,0.04
95,0.2,0.77,0.0,0.0,0.19,0.04
96,0.19,0.75,0.0,0.0,0.21,0.04
97,0.21,0.75,0.0,0.0,0.21,0.04
98,0.22,0.75,0.0,0.0,0.22,0.03
99,0.23,0.76,0.0,0.0,0.21,0.03
