paso,cooperacion_global,E,P,O,A,R
0,0.44,0.23,0.16,0.23,0.19,0.19
1,0.43,0.23,0.16,0.23,0.19,0.19
2,0.39,0.23,0.16,0.23,0.19,0.19
3,0.46,0.27,0.11,0.28,0.17,0.17
4,0.4,0.28,0.1,0.29,0.17,0.16
5,0.35,0.25,0.1,0.32,0.17,0.16
6,0.35,0.23,0.11,0.33,0.17,0.16
7,0.35,0.23,0.09,0.36,0.14,0.18
8,0.33,0.21,0.09,0.37,0.15,0.18
9,0.31,0.22,0.1,0.35,0.13,0.2
10,0.31,0.22,0.1,0.33,0.12,0.23
11,0.35,0.2,0.1,0.35,0.12,0.23
12,0.29,0.2,0.11,0.33,0.11,0.25
13,0.35,0.2,0.11,0.34,0.1,0.25
14,0.32,0.2,0.11,0.33,0.11,0.25
15,0.31,0.21,0.11,0.32,0.11,0.25
16,0.31,0.24,0.11,0.31,0.1,0.24
17,0.37,0.25,0.13,0.29,0.09,0.24
18,0.34,0.23,0.16,0.26,0.08,0.27
19,0.38,0.21,0.15,0.27,0.08,0.29
20,0.38,0.19,0.15,0.3,0.06,0.3
21,0.29,0.18,0.14,0.3,0.05,0.33
22,0.34,0.15,0.15,0.3,0.05,0.35
23,0.34,0.13,0.15,0.35,0.04,0.33
24,0.36,0.14,0.14,0.32,0.04,0.36
25,0.37,0.13,0.14,0.32,0.04,0.37
26,0.33,0.14,0.13,0.32,0.04,0.37
27,0.35,0.15,0.11,0.3,0.02,0.42
28,0.3,0.13,0.11,0.32,0.0,0.44
29,0.33,0.13,0.11,0.31,0.0,0.45
30,0.32,0.14,0.1,0.3,0.0,0.46
31,0.33,0.13,0.12,0.29,0.0,0.46
32,0.34,0.13,0.12,0.27,0.0,0.48
33,0.41,0.14,0.11,0.27,0.0,0.48
34,0.37,0.13,0.09,0.26,0.0,0.52
35,0.3,0.14,0.1,0.25,0.0,0.51
36,0.39,0.14,0.1,0.25,0.0,0.51
37,0.31,0.15,0.09,0.24,0.0,0.52
38,0.38,0.14,0.1,0.23,0.0,0.53
39,0.34,0.14,0.1,0.23,0.0,0.53
40,0.4,0.13,0.09,0.24,0.0,0.54
41,0.34,0.15,0.1,0.21,0.0,0.54
42,0.38,0.13,0.1,0.23,0.0,0.54
43,0.32,0.12,0.1,0.22,0.0,0.56
44,0.42,0.12,0.11,0.21,0.0,0.56
45,0.38,0.1,0.11,0.22,0.0,0.57
46,0.39,0.08,0.11,0.21,0.0,0.6
47,0.39,0.09,0.1,0.22,0.0,0.59
48,0.42,0.09,0.09,0.25,0.0,0.57
49,0.38,0.1,0.09,0.23,0.0,0.58
50,0.49,0.11,0.07,0.24,0.0,0.58
51,0.53,0.11,0.06,0.23,0.0,0.6
52,0.55,0.13,0.04,0.23,0.0,0.6
53,0.55,0.13,0.04,0.24,0.0,0.59
54,0.57,0.13,0.04,0.24,0.0,0.59
55,0.53,0.14,0.04,0.24,0.0,0.58
56,0.51,0.18,0.04,0.21,0.0,0.57
57,0.57,0.18,0.04,0.2,0.0,0.58
58,0.42,0.18,0.04,0.21,0.0,0.57
59,0.49,0.2,0.03,0.18,0.0,0.59
60,0.41,0.19,0.04,0.18,0.0,0.59
61,0.44,0.19,0.04,0.18,0.0,0.59
62,0.53,0.2,0.04,0.19,0.0,0.57
63,0.48,0.21,0.04,0.19,0.0,0.56
64,0.46,0.21,0.05,0.2,0.0,0.54
65,0.51,0.21,0.05,0.21,0.0,0.53
66,0.45,0.21,0.05,0.23,0.0,0.51
67,0.4,0.22,0.05,0.23,0.0,0.5
68,0.49,0.2,0.04,0.25,0.0,0.51
69,0.52,0.2,0.04,0.29,0.0,0.47
70,0.52,0.2,0.05,0.29,0.0,0.46
71,0.54,0.22,0.05,0.29,0.0,0.44
72,0.56,0.22,0.06,0.27,0.0,0.45
73,0.53,0.22,0.06,0.26,0.0,0.46
74,0.47,0.21,0.06,0.25,0.0,0.48
75,0.55,0.21,0.06,0.26,0.0,0.47
76,0.53,0.24,0.04,0.27,0.0,0.45
77,0.49,0.24,0.04,0.28,0.0,0.44
78,0.48,0.23,0.04,0.29,0.0,0.44
79,0.49,0.23,0.03,0.29,0.0,0.45
80,0.5,0.26,0.03,0.27,0.0,0.44
81,0.47,0.26,0.03,0.26,0.0,0.45
82,0.46,0.27,0.03,0.27,0.0,0.43
83,0.47,0.28,0.03,0.27,0.0,0.42
84,0.47,0.27,0.02,0.28,0.0,0.43
85,0.5,0.27,0.03,0.28,0.0,0.42
86,0.48,0.27,0.03,0.28,0.0,0.42
87,0.5,0.28,0.03,0.29,0.0,0.4
88,0.52,0.26,0.04,0.29,0.0,0.41
89,0.53,0.25,0.04,0.3,0.0,0.41
90,0.53,0.26,0.03,0.31,0.0,0.4
91,0.53,0.26,0.03,0.31,0.0,0.4
92,0.52,0.31,0.03,0.29,0.0,0.37
93,0.45,0.32,0.03,0.28,0.0,0.37
94,0.47,0.33,0.03,0.29,0.0,0.35
95,0.45,0.33,0.04,0.29,0.0,0.34
96,0.47,0.31,0.05,0.29,0.0,0.35
97,0.45,0.31,0.04,0.3,0.0,0.35
98,0.45,0.32,0.04,0.3,0.0,0.34
99,0.49,0.35,0.03,0.29,0.0,0.33
