paso,cooperacion_global,E,P,O,A,R
0,0.54,0.18,0.23,0.17,0.18,0.24
1,0.5,0.18,0.23,0.17,0.18,0.24
2,0.58,0.18,0.23,0.17,0.18,0.24
3,0.53,0.16,0.23,0.19,0.17,0.25
4,0.5,0.18,0.25,0.18,0.16,0.23
5,0.5,0.17,0.26,0.2,0.16,0.21
6,0.51,0.16,0.23,0.22,0.16,0.23
7,0.46,0.21,0.22,0.22,0.13,0.22
8,0.47,0.22,0.2,0.23,0.14,0.21
9,0.49,0.23,0.2,0.22,0.13,0.22
10,0.46,0.24,0.15,0.23,0.14,0.24
11,0.42,0.24,0.15,0.22,0.15,0.24
12,0.41,0.25,0.15,0.21,0.17,0.22
13,0.41,0.26,0.14,0.23,0.16,0.21
14,0.36,0.28,0.14,0.22,0.15,0.21
15,0.39,0.29,0.14,0.23,0.14,0.2
16,0.37,0.25,0.15,0.25,0.16,0.19
17,0.41,0.25,0.15,0.25,0.16,0.19
18,0.4,0.25,0.16,0.24,0.16,0.19
19,0.4,0.24,0.16,0.26,0.16,0.18
20,0.38,0.26,0.14,0.28,0.16,0.16
21,0.38,0.27,0.16,0.27,0.16,0.14
22,0.39,0.29,0.16,0.25,0.15,0.15
23,0.36,0.28,0.16,0.25,0.15,0.16
24,0.44,0.27,0.17,0.24,0.15,0.17
25,0.42,0.26,0.17,0.24,0.15,0.18
26,0.44,0.25,0.18,0.26,0.14,0.17
27,0.39,0.24,0.2,0.25,0.15,0.16
28,0.41,0.24,0.22,0.25,0.15,0.14
29,0.42,0.23,0.21,0.26,0.15,0.15
30,0.44,0.25,0.22,0.24,0.15,0.14
31,0.43,0.24,0.2,0.28,0.16,0.12
32,0.44,0.25,0.2,0.29,0.15,0.11
33,0.39,0.24,0.19,0.29,0.17,0.11
34,0.42,0.22,0.18,0.32,0.18,0.1
35,0.4,0.22,0.18,0.32,0.18,0.1
36,0.41,0.22,0.19,0.31,0.18,0.1
37,0.41,0.21,0.19,0.31,0.17,0.12
38,0.44,0.23,0.17,0.32,0.17,0.11
39,0.38,0.22,0.17,0.32,0.18,0.11
40,0.43,0.21,0.17,0.33,0.19,0.1
41,0.43,0.2,0.16,0.34,0.21,0.09
42,0.44,0.21,0.18,0.32,0.2,0.09
43,0.43,0.23,0.18,0.32,0.19,0.08
44,0.41,0.22,0.16,0.33,0.18,0.11
45,0.41,0.2,0.16,0.36,0.16,0.12
46,0.4,0.22,0.13,0.37,0.16,0.12
47,0.35,0.21,0.13,0.37,0.16,0.13
48,0.36,0.22,0.12,0.38,0.16,0.12
49,0.37,0.21,0.11,0.38,0.17,0.13
50,0.61,0.18,0.1,0.4,0.18,0.14
51,0.68,0.18,0.09,0.42,0.18,0.13
52,0.66,0.19,0.09,0.41,0.18,0.13
53,0.66,0.19,0.09,0.43,0.18,0.11
54,0.67,0.22,0.09,0.41,0.18,0.1
55,0.63,0.23,0.08,0.41,0.18,0.1
56,0.62,0.21,0.09,0.44,0.18,0.08
57,0.66,0.21,0.11,0.4,0.19,0.09
58,0.67,0.2,0.11,0.39,0.2,0.1
59,0.63,0.21,0.11,0.39,0.21,0.08
60,0.62,0.23,0.11,0.39,0.2,0.07
61,0.61,0.24,0.11,0.4,0.19,0.06
62,0.62,0.24,0.1,0.4,0.2,0.06
63,0.63,0.24,0.11,0.38,0.21,0.06
64,0.64,0.23,0.1,0.41,0.2,0.06
65,0.63,0.22,0.11,0.42,0.2,0.05
66,0.65,0.22,0.1,0.44,0.2,0.04
67,0.65,0.2,0.1,0.45,0.21,0.04
68,0.68,0.21,0.1,0.44,0.21,0.04
69,0.67,0.2,0.11,0.43,0.22,0.04
70,0.65,0.2,0.08,0.45,0.24,0.03
71,0.71,0.22,0.07,0.46,0.23,0.02
72,0.71,0.22,0.07,0.46,0.23,0.02
73,0.69,0.22,0.05,0.48,0.23,0.02
74,0.72,0.22,0.04,0.52,0.2,0.02
75,0.73,0.22,0.05,0.53,0.18,0.02
76,0.71,0.22,0.04,0.54,0.17,0.03
77,0.71,0.22,0.04,0.55,0.15,0.04
78,0.73,0.23,0.04,0.54,0.15,0.04
79,0.72,0.21,0.05,0.55,0.15,0.04
80,0.72,0.21,0.05,0.55,0.15,0.04
81,0.72,0.22,0.03,0.56,0.16,0.03
82,0.75,0.19,0.04,0.58,0.16,0.03
83,0.75,0.18,0.05,0.58,0.16,0.03
84,0.76,0.15,0.05,0.61,0.16,0.03
85,0.78,0.14,0.07,0.63,0.15,0.01
86,0.79,0.13,0.07,0.64,0.15,0.01
87,0.79,0.14,0.07,0.63,0.15,0.01
88,0.78,0.11,0.08,0.66,0.15,0.0
89,0.81,0.11,0.08,0.66,0.15,0.0
90,0.81,0.1,0.1,0.67,0.13,0.0
91,0.8,0.09,0.11,0.67,0.13,0.0
92,0.8,0.09,0.11,0.68,0.12,0.0
93,0.8,0.08,0.13,0.68,0.11,0.0
94,0.79,0.08,0.13,0.67,0.12,0.0
95,0.79,0.07,0.12,0.7,0.11,0.0
96,0.81,0.07,0.12,0.7,0.11,0.0
97,0.81,0.06,0.1,0.73,0.11,0.0
98,0.84,0.06,0.1,0.73,0.11,0.0
99,0.84,0.06,0.1,0.73,0.11,0.0
