paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
0,0-0,A,0,C,4.0,10,1
0,0-1,A,0,C,4.0,9,1
0,0-2,E,0,D,2.0,6,1
0,0-3,O,0,D,2.0,4,1
0,0-4,R,0,D,4.0,7,1
0,0-5,E,0,D,0.0,9,1
0,0-6,O,0,D,2.0,3,1
0,0-7,P,0,C,4.0,5,1
0,0-8,P,0,C,4.0,10,1
0,0-9,A,0,C,4.0,7,1
0,1-0,E,0,D,4.0,6,1
0,1-1,P,0,C,4.0,3,1
0,1-2,E,0,D,4.0,5,1
0,1-3,P,0,C,4.0,7,1
0,1-4,P,0,C,4.0,8,1
0,1-5,E,0,D,2.0,9,1
0,1-6,E,0,D,2.0,5,1
0,1-7,P,0,C,4.0,10,1
0,1-8,O,0,D,4.0,7,1
0,1-9,E,0,D,4.0,6,1
0,2-0,E,0,D,4.0,3,1
0,2-1,O,0,D,4.0,8,1
0,2-2,O,0,D,2.0,7,1
0,2-3,O,0,D,4.0,7,1
0,2-4,R,0,C,4.0,7,1
0,2-5,R,0,D,2.0,6,1
0,2-6,R,0,D,2.0,4,1
0,2-7,A,0,C,4.0,5,1
0,2-8,E,0,D,6.0,6,1
0,2-9,P,0,C,4.0,3,1
0,3-0,A,0,C,4.0,6,1
0,3-1,A,0,C,4.0,6,1
0,3-2,P,0,C,4.0,9,1
0,3-3,E,0,D,4.0,4,1
0,3-4,O,0,D,2.0,6,1
0,3-5,O,0,D,2.0,8,1
0,3-6,E,0,D,2.0,8,1
0,3-7,R,0,D,4.0,3,1
0,3-8,P,0,C,4.0,3,1
0,3-9,E,0,D,6.0,8,1
0,4-0,E,0,D,2.0,6,1
0,4-1,E,0,D,2.0,8,1
0,4-2,E,0,D,6.0,10,1
0,4-3,P,0,C,4.0,5,1
0,4-4,O,0,D,4.0,10,1
0,4-5,R,0,C,4.0,4,1
0,4-6,P,0,C,4.0,3,1
0,4-7,E,0,D,2.0,3,1
0,4-8,E,0,D,2.0,8,1
0,4-9,E,0,D,2.0,10,1
0,5-0,O,0,D,4.0,8,1
0,5-1,E,0,D,4.0,4,1
0,5-2,P,0,C,4.0,8,1
0,5-3,R,0,D,4.0,8,1
0,5-4,E,0,D,2.0,10,1
0,5-5,A,0,C,4.0,7,1
0,5-6,E,0,D,4.0,10,1
0,5-7,E,0,D,2.0,6,1
0,5-8,E,0,D,2.0,4,1
0,5-9,P,0,C,4.0,3,1
0,6-0,A,0,C,4.0,8,1
0,6-1,P,0,C,4.0,5,1
0,6-2,A,0,C,4.0,10,1
0,6-3,E,0,D,4.0,7,1
0,6-4,E,0,D,2.0,9,1
0,6-5,P,0,C,4.0,6,1
0,6-6,O,0,D,6.0,4,1
0,6-7,A,0,C,4.0,8,1
0,6-8,E,0,D,4.0,10,1
0,6-9,P,0,C,4.0,4,1
0,7-0,A,0,C,4.0,4,1
0,7-1,P,0,C,4.0,5,1
0,7-2,P,0,C,4.0,5,1
0,7-3,A,0,C,4.0,6,1
0,7-4,E,0,D,4.0,9,1
0,7-5,R,0,C,4.0,7,1
0,7-6,P,0,C,4.0,8,1
0,7-7,O,0,D,4.0,3,1
0,7-8,E,0,D,4.0,7,1
0,7-9,A,0,C,4.0,7,1
0,8-0,E,0,D,8.0,4,1
0,8-1,R,0,C,4.0,9,1
0,8-2,R,0,C,4.0,7,1
0,8-3,O,0,D,4.0,10,1
0,8-4,E,0,D,2.0,7,1
0,8-5,O,0,D,2.0,5,1
0,8-6,E,0,D,2.0,7,1
0,8-7,E,0,D,2.0,9,1
0,8-8,R,0,C,4.0,9,1
0,8-9,P,0,C,4.0,8,1
0,9-0,A,0,C,4.0,8,1
0,9-1,E,0,D,6.0,10,1
0,9-2,E,0,D,2.0,9,1
0,9-3,O,0,D,2.0,10,1
0,9-4,P,0,C,4.0,3,1
0,9-5,E,0,D,2.0,5,1
0,9-6,O,0,D,0.0,8,1
0,9-7,E,0,D,4.0,6,1
0,9-8,A,0,C,4.0,8,1
0,9-9,O,0,D,8.0,10,1
1,0-0,A,0,C,3.98,10,2
1,0-1,A,0,C,3.96,10,2
1,0-2,E,0,D,1.98,5,2
1,0-3,O,0,D,1.98,3,2
1,0-4,R,0,D,3.96,6,2
1,0-5,E,0,D,0.0,10,2
1,0-6,O,0,D,1.98,3,2
1,0-7,P,0,C,3.96,6,2
1,0-8,P,0,C,3.98,10,2
1,0-9,A,0,C,3.96,6,2
1,1-0,E,0,D,3.96,7,2
1,1-1,P,0,C,3.939,3,2
1,1-2,E,0,D,3.96,4,2
1,1-3,P,0,C,3.939,6,2
1,1-4,P,0,C,3.96,7,2
1,1-5,E,0,D,3.96,10,2
1,1-6,E,0,D,1.98,4,2
1,1-7,P,0,C,3.96,10,2
1,1-8,O,0,D,3.96,6,2
1,1-9,E,0,D,3.96,7,2
1,2-0,E,0,D,3.96,4,2
1,2-1,O,0,D,3.96,9,2
1,2-2,O,0,D,1.98,6,2
1,2-3,O,0,D,3.96,8,2
1,2-4,R,0,C,3.96,6,2
1,2-5,R,0,C,3.939,5,2
1,2-6,R,0,D,3.96,5,2
1,2-7,A,0,C,3.939,4,2
1,2-8,E,0,D,5.939,7,2
1,2-9,P,0,C,3.919,3,2
1,3-0,A,0,C,3.939,5,2
1,3-1,A,0,C,3.96,7,2
1,3-2,P,0,C,3.939,10,2
1,3-3,E,0,D,3.96,5,2
1,3-4,O,0,D,1.98,7,2
1,3-5,O,0,D,3.96,9,2
1,3-6,E,0,D,1.98,7,2
1,3-7,R,0,D,3.96,4,2
1,3-8,P,0,C,3.919,3,2
1,3-9,E,0,D,5.939,9,2
1,4-0,E,0,D,1.98,7,2
1,4-1,E,0,D,1.98,7,2
1,4-2,E,0,D,5.939,10,2
1,4-3,P,0,C,3.939,4,2
1,4-4,O,0,D,3.96,9,2
1,4-5,R,0,C,3.96,5,2
1,4-6,P,0,C,3.939,3,2
1,4-7,E,0,D,1.98,3,2
1,4-8,E,0,D,1.98,7,2
1,4-9,E,0,D,1.98,9,2
1,5-0,O,0,D,3.96,9,2
1,5-1,E,0,D,3.96,5,2
1,5-2,P,0,C,3.96,9,2
1,5-3,R,0,C,3.96,9,2
1,5-4,E,0,D,3.96,9,2
1,5-5,A,0,C,3.96,8,2
1,5-6,E,0,D,3.96,10,2
1,5-7,E,0,D,1.98,7,2
1,5-8,E,0,D,1.98,5,2
1,5-9,P,0,C,3.939,4,2
1,6-0,A,0,C,3.98,9,2
1,6-1,P,0,C,3.98,6,2
1,6-2,A,0,C,3.98,10,2
1,6-3,E,0,D,5.939,8,2
1,6-4,E,0,D,1.98,8,2
1,6-5,P,0,C,3.96,5,2
1,6-6,O,0,D,5.939,5,2
1,6-7,A,0,C,3.919,7,2
1,6-8,E,0,D,3.96,10,2
1,6-9,P,0,C,3.98,5,2
1,7-0,A,0,C,3.98,5,2
1,7-1,P,0,C,3.98,6,2
1,7-2,P,0,C,3.98,6,2
1,7-3,A,0,C,3.939,5,2
1,7-4,E,0,D,3.96,10,2
1,7-5,R,0,C,3.96,8,2
1,7-6,P,0,C,3.939,7,2
1,7-7,O,0,D,3.96,4,2
1,7-8,E,0,D,1.98,8,2
1,7-9,A,0,C,3.98,8,2
1,8-0,E,0,D,5.939,5,2
1,8-1,R,0,D,1.98,8,2
1,8-2,R,0,D,1.98,6,2
1,8-3,O,0,D,1.98,9,2
1,8-4,E,0,D,1.98,6,2
1,8-5,O,0,D,1.98,4,2
1,8-6,E,0,D,1.98,8,2
1,8-7,E,0,D,0.0,8,2
1,8-8,R,0,D,3.96,10,2
1,8-9,P,0,C,3.939,7,2
1,9-0,A,0,C,3.939,7,2
1,9-1,E,0,D,3.96,10,2
1,9-2,E,0,D,0.0,8,2
1,9-3,O,0,D,1.98,9,2
1,9-4,P,0,C,3.919,3,2
1,9-5,E,0,D,1.98,4,2
1,9-6,O,0,D,0.0,7,2
1,9-7,E,0,D,3.96,5,2
1,9-8,A,0,C,3.939,7,2
1,9-9,O,0,D,7.919,10,2
2,0-0,A,0,C,3.96,10,3
2,0-1,A,0,C,3.919,10,3
2,0-2,E,0,D,1.96,6,3
2,0-3,O,0,D,1.96,3,3
2,0-4,R,0,D,3.919,7,3
2,0-5,E,0,D,0.0,9,3
2,0-6,O,0,D,1.96,3,3
2,0-7,P,0,C,3.919,5,3
2,0-8,P,0,C,3.96,10,3
2,0-9,A,0,C,3.919,7,3
2,1-0,E,0,D,3.919,8,3
2,1-1,P,0,C,3.879,4,3
2,1-2,E,0,D,3.919,5,3
2,1-3,P,0,C,3.879,5,3
2,1-4,P,0,C,3.879,6,3
2,1-5,E,0,D,3.919,9,3
2,1-6,E,0,D,3.919,5,3
2,1-7,P,0,C,3.919,10,3
2,1-8,O,0,D,3.919,7,3
2,1-9,E,0,D,3.919,8,3
2,2-0,E,0,D,3.919,5,3
2,2-1,O,0,D,3.919,10,3
2,2-2,O,0,D,1.96,5,3
2,2-3,O,0,D,1.96,7,3
2,2-4,R,0,D,3.919,7,3
2,2-5,R,0,C,3.879,4,3
2,2-6,R,0,C,3.919,6,3
2,2-7,A,0,C,3.96,5,3
2,2-8,E,0,D,5.879,8,3
2,2-9,P,0,C,3.838,3,3
2,3-0,A,0,C,3.879,4,3
2,3-1,A,0,C,3.919,8,3
2,3-2,P,0,C,3.879,9,3
