paso,cooperacion_global,E,P,O,A,R
0,0.46,0.29,0.25,0.2,0.17,0.09
1,0.45,0.29,0.25,0.2,0.17,0.09
2,0.49,0.29,0.25,0.2,0.17,0.09
3,0.45,0.29,0.23,0.21,0.18,0.09
4,0.45,0.26,0.24,0.25,0.16,0.09
5,0.45,0.24,0.24,0.27,0.16,0.09
6,0.45,0.25,0.25,0.25,0.16,0.09
7,0.46,0.23,0.25,0.27,0.16,0.09
8,0.46,0.25,0.26,0.22,0.16,0.11
9,0.48,0.27,0.25,0.2,0.18,0.1
10,0.46,0.26,0.24,0.22,0.17,0.11
11,0.46,0.26,0.25,0.21,0.17,0.11
12,0.47,0.23,0.27,0.22,0.16,0.12
13,0.46,0.23,0.26,0.23,0.17,0.11
14,0.48,0.24,0.26,0.24,0.15,0.11
15,0.45,0.26,0.25,0.25,0.14,0.1
16,0.44,0.26,0.24,0.25,0.14,0.11
17,0.41,0.22,0.27,0.25,0.12,0.14
18,0.48,0.22,0.26,0.24,0.13,0.15
19,0.45,0.19,0.29,0.26,0.12,0.14
20,0.47,0.2,0.28,0.25,0.14,0.13
21,0.5,0.19,0.29,0.27,0.13,0.12
22,0.52,0.19,0.3,0.26,0.13,0.12
23,0.48,0.19,0.3,0.28,0.13,0.1
24,0.47,0.21,0.32,0.27,0.11,0.09
25,0.43,0.25,0.32,0.26,0.09,0.08
26,0.39,0.24,0.32,0.27,0.1,0.07
27,0.4,0.24,0.33,0.27,0.09,0.07
28,0.39,0.24,0.35,0.27,0.08,0.06
29,0.36,0.24,0.36,0.27,0.08,0.05
30,0.36,0.24,0.4,0.23,0.08,0.05
31,0.33,0.27,0.37,0.24,0.07,0.05
32,0.33,0.28,0.38,0.24,0.07,0.03
33,0.32,0.26,0.39,0.24,0.08,0.03
34,0.33,0.27,0.37,0.24,0.09,0.03
35,0.35,0.29,0.35,0.24,0.09,0.03
36,0.35,0.32,0.34,0.23,0.09,0.02
37,0.33,0.32,0.33,0.24,0.09,0.02
38,0.35,0.36,0.3,0.23,0.09,0.02
39,0.33,0.37,0.29,0.23,0.09,0.02
40,0.33,0.35,0.29,0.22,0.11,0.03
41,0.35,0.36,0.26,0.24,0.11,0.03
42,0.38,0.36,0.24,0.26,0.11,0.03
43,0.39,0.36,0.24,0.26,0.11,0.03
44,0.39,0.37,0.23,0.27,0.1,0.03
45,0.39,0.37,0.23,0.27,0.11,0.02
46,0.39,0.37,0.22,0.25,0.14,0.02
47,0.4,0.38,0.23,0.23,0.14,0.02
48,0.38,0.36,0.25,0.23,0.14,0.02
49,0.39,0.37,0.25,0.21,0.15,0.02
