paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
0,0-0,P,0,C,4.0,3,1
0,0-1,O,0,D,4.0,4,1
0,0-2,A,0,C,4.0,8,1
0,0-3,E,0,D,6.0,10,1
0,0-4,P,0,C,4.0,7,1
0,0-5,E,0,D,2.0,3,1
0,0-6,E,0,D,0.0,3,1
0,0-7,E,0,D,0.0,4,1
0,0-8,E,0,D,0.0,4,1
0,0-9,E,0,D,6.0,4,1
0,1-0,E,0,D,4.0,4,1
0,1-1,E,0,D,4.0,10,1
0,1-2,P,0,C,4.0,10,1
0,1-3,A,0,C,4.0,10,1
0,1-4,R,0,D,6.0,6,1
0,1-5,E,0,D,2.0,9,1
0,1-6,E,0,D,2.0,7,1
0,1-7,O,0,D,0.0,5,1
0,1-8,E,0,D,4.0,5,1
0,1-9,P,0,C,4.0,3,1
0,2-0,O,0,D,2.0,6,1
0,2-1,A,0,C,4.0,7,1
0,2-2,A,0,C,4.0,8,1
0,2-3,P,0,C,4.0,8,1
0,2-4,A,0,C,4.0,5,1
0,2-5,A,0,C,4.0,8,1
0,2-6,P,0,C,4.0,3,1
0,2-7,O,0,D,4.0,7,1
0,2-8,P,0,C,4.0,8,1
0,2-9,E,0,D,4.0,9,1
0,3-0,R,0,D,2.0,3,1
0,3-1,O,0,D,4.0,6,1
0,3-2,O,0,D,4.0,6,1
0,3-3,E,0,D,2.0,4,1
0,3-4,O,0,D,4.0,6,1
0,3-5,O,0,D,4.0,3,1
0,3-6,E,0,D,4.0,6,1
0,3-7,E,0,D,0.0,7,1
0,3-8,E,0,D,2.0,9,1
0,3-9,O,0,D,0.0,9,1
0,4-0,P,0,C,4.0,8,1
0,4-1,A,0,C,4.0,5,1
0,4-2,P,0,C,4.0,3,1
0,4-3,R,0,D,4.0,9,1
0,4-4,P,0,C,4.0,9,1
0,4-5,P,0,C,4.0,5,1
0,4-6,P,0,C,4.0,7,1
0,4-7,E,0,D,4.0,7,1
0,4-8,E,0,D,2.0,5,1
0,4-9,E,0,D,4.0,5,1
0,5-0,A,0,C,4.0,10,1
0,5-1,R,0,C,4.0,10,1
0,5-2,P,0,C,4.0,6,1
0,5-3,O,0,D,6.0,5,1
0,5-4,P,0,C,4.0,4,1
0,5-5,R,0,C,4.0,9,1
0,5-6,R,0,C,4.0,5,1
0,5-7,A,0,C,4.0,9,1
0,5-8,A,0,C,4.0,9,1
0,5-9,P,0,C,4.0,7,1
0,6-0,A,0,C,4.0,5,1
0,6-1,E,0,D,6.0,5,1
0,6-2,A,0,C,4.0,8,1
0,6-3,P,0,C,4.0,8,1
0,6-4,O,0,D,4.0,10,1
0,6-5,O,0,D,6.0,5,1
0,6-6,R,0,C,4.0,4,1
0,6-7,P,0,C,4.0,9,1
0,6-8,P,0,C,4.0,10,1
0,6-9,E,0,D,8.0,5,1
0,7-0,O,0,D,6.0,8,1
0,7-1,O,0,D,0.0,3,1
0,7-2,R,0,D,2.0,9,1
0,7-3,O,0,D,2.0,3,1
0,7-4,E,0,D,4.0,4,1
0,7-5,A,0,C,4.0,3,1
0,7-6,P,0,C,4.0,4,1
0,7-7,P,0,C,4.0,8,1
0,7-8,E,0,D,8.0,6,1
0,7-9,A,0,C,4.0,8,1
0,8-0,A,0,C,4.0,10,1
0,8-1,E,0,D,2.0,5,1
0,8-2,O,0,D,2.0,3,1
0,8-3,E,0,D,2.0,8,1
0,8-4,P,0,C,4.0,6,1
0,8-5,A,0,C,4.0,4,1
0,8-6,E,0,D,4.0,6,1
0,8-7,O,0,D,4.0,3,1
0,8-8,A,0,C,4.0,4,1
0,8-9,P,0,C,4.0,10,1
0,9-0,P,0,C,4.0,5,1
0,9-1,O,0,D,4.0,5,1
0,9-2,P,0,C,4.0,6,1
0,9-3,E,0,D,2.0,8,1
0,9-4,O,0,D,4.0,8,1
0,9-5,E,0,D,2.0,8,1
0,9-6,R,0,D,0.0,6,1
0,9-7,E,0,D,0.0,6,1
0,9-8,O,0,D,4.0,10,1
0,9-9,P,0,C,4.0,3,1
1,0-0,P,0,C,3.878,3,2
1,0-1,O,0,D,3.918,5,2
1,0-2,A,0,C,3.918,9,2
1,0-3,E,0,D,5.878,10,2
1,0-4,P,0,C,3.837,6,2
1,0-5,E,0,D,1.959,4,2
1,0-6,E,0,D,1.959,3,2
