paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
0,0-0,A,0,C,2.577,8,1
0,0-1,E,0,D,7.669,10,1
0,0-2,A,0,C,3.526,9,1
0,0-3,P,0,C,3.051,8,1
0,0-4,E,0,D,7.669,7,1
0,0-5,A,0,C,3.051,10,1
0,0-6,P,0,C,3.051,3,1
0,0-7,E,0,D,1.917,9,1
0,0-8,E,0,D,1.917,9,1
0,0-9,P,0,C,2.577,3,1
0,1-0,O,0,D,3.834,5,1
0,1-1,A,0,C,2.577,4,1
0,1-2,P,0,C,3.526,4,1
0,1-3,E,0,D,5.752,10,1
0,1-4,P,0,C,2.103,7,1
0,1-5,E,0,D,3.834,7,1
0,1-6,E,0,D,3.834,4,1
0,1-7,O,0,D,0.0,9,1
0,1-8,E,0,D,1.917,5,1
0,1-9,E,0,D,1.917,8,1
0,2-0,O,0,D,0.0,7,1
0,2-1,O,0,D,3.834,7,1
0,2-2,A,0,C,3.051,4,1
0,2-3,E,0,D,1.917,5,1
0,2-4,O,0,D,1.917,5,1
0,2-5,O,0,D,1.917,9,1
0,2-6,P,0,C,2.103,3,1
0,2-7,O,0,D,5.752,7,1
0,2-8,A,0,C,2.577,5,1
0,2-9,O,0,D,1.917,9,1
0,3-0,O,0,D,0.0,7,1
0,3-1,O,0,D,3.834,10,1
0,3-2,P,0,C,2.577,7,1
0,3-3,E,0,D,1.917,7,1
0,3-4,O,0,D,0.0,6,1
0,3-5,E,0,D,0.0,3,1
0,3-6,E,0,D,5.752,4,1
0,3-7,R,0,C,2.577,7,1
0,3-8,P,0,C,3.051,7,1
0,3-9,E,0,D,3.834,10,1
0,4-0,O,0,D,3.834,9,1
0,4-1,A,0,C,2.577,6,1
0,4-2,O,0,D,3.834,10,1
0,4-3,O,0,D,0.0,7,1
0,4-4,E,0,D,1.917,10,1
0,4-5,E,0,D,3.834,10,1
0,4-6,A,0,C,2.103,9,1
0,4-7,E,0,D,3.834,4,1
0,4-8,E,0,D,3.834,8,1
0,4-9,A,0,C,2.103,9,1
0,5-0,O,0,D,3.834,8,1
0,5-1,P,0,C,3.051,7,1
0,5-2,R,0,D,1.917,4,1
0,5-3,O,0,D,3.834,8,1
