paso,cooperacion_global,E,P,O,A,R
0,0.22,0.36,0.17,0.2,0.16,0.11
1,0.59,0.36,0.17,0.2,0.16,0.11
2,0.42,0.36,0.17,0.2,0.16,0.11
3,0.56,0.36,0.18,0.21,0.17,0.08
4,0.4,0.37,0.18,0.2,0.18,0.07
5,0.37,0.36,0.2,0.21,0.16,0.07
6,0.43,0.37,0.21,0.21,0.14,0.07
7,0.37,0.34,0.22,0.22,0.16,0.06
8,0.41,0.38,0.2,0.25,0.12,0.05
9,0.14,0.4,0.18,0.26,0.12,0.04
10,0.31,0.37,0.19,0.23,0.18,0.03
11,0.19,0.38,0.19,0.23,0.17,0.03
12,0.39,0.38,0.18,0.25,0.17,0.02
13,0.42,0.39,0.17,0.25,0.15,0.04
14,0.43,0.4,0.17,0.24,0.14,0.05
15,0.17,0.42,0.15,0.24,0.14,0.05
16,0.4,0.4,0.13,0.26,0.16,0.05
17,0.44,0.38,0.16,0.24,0.17,0.05
18,0.38,0.38,0.17,0.21,0.19,0.05
19,0.41,0.35,0.18,0.21,0.21,0.05
20,0.98,0.35,0.19,0.21,0.2,0.05
21,0.64,0.33,0.18,0.23,0.2,0.06
22,0.46,0.3,0.19,0.24,0.21,0.06
23,0.49,0.33,0.19,0.22,0.2,0.06
24,0.43,0.34,0.18,0.21,0.22,0.05
25,0.47,0.37,0.2,0.18,0.21,0.04
26,0.43,0.38,0.2,0.16,0.21,0.05
27,0.23,0.38,0.19,0.16,0.21,0.06
28,0.23,0.37,0.21,0.17,0.19,0.06
29,0.58,0.33,0.21,0.19,0.19,0.08
30,0.24,0.34,0.21,0.19,0.19,0.07
31,0.63,0.3,0.22,0.2,0.21,0.07
32,0.69,0.29,0.23,0.2,0.21,0.07
33,0.67,0.26,0.22,0.22,0.24,0.06
34,0.48,0.23,0.22,0.23,0.25,0.07
35,0.31,0.24,0.21,0.25,0.23,0.07
36,0.27,0.25,0.2,0.25,0.23,0.07
37,0.52,0.24,0.22,0.26,0.21,0.07
38,0.5,0.23,0.21,0.28,0.22,0.06
39,0.74,0.16,0.22,0.32,0.24,0.06
40,0.5,0.17,0.22,0.32,0.23,0.06
41,0.95,0.17,0.21,0.33,0.23,0.06
42,0.24,0.17,0.2,0.35,0.22,0.06
43,0.47,0.18,0.19,0.34,0.23,0.06
44,0.6,0.18,0.2,0.33,0.23,0.06
45,0.24,0.2,0.2,0.32,0.22,0.06
46,0.96,0.2,0.2,0.32,0.23,0.05
47,0.76,0.17,0.21,0.32,0.26,0.04
48,0.49,0.14,0.22,0.31,0.29,0.04
49,0.84,0.12,0.22,0.33,0.31,0.02
